ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက်ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
အမှတ် (၁),အမှတ် (၁),အမှတ် (၁),အမှတ် (၁),ယောမင်းကြီး,ဧရာဝတီ,(မြောက်) ဝေဠုဝန်,(မြောက်) သရက်တော,အမှတ် (၁),အမှတ် (၁),ဥယျာဥ်,၁/အနော်မာ,နွယ်အေး,မအူကုန်း,က,အမှတ် (၁),အမှတ် (၃),မြို့မ,အမှတ် (၁),အမှတ် (၁),(၁) သမိုင်းဘူတာအနောက်,အမှတ် (၁),အမှတ် (၁၆),အမှတ် (၁၇) တောင်ပိုင်း,အမှတ် (၁),အမှတ် (၅၈),(အနောက်) ကမ်းနား,အမှတ် (၁),အမှတ် (၉),ကြံခင်းစု,အမှတ် (၁),အောင်မင်္ဂလာ,အမှတ် (၁),အမှတ် (၁),အင်္ဂလား,(အရှေ့) ဆိပ်ကြီး,သမတကမ်းခြေ,မြို့သစ်,မြို့မ,ကွမ်းခြံ,မြို့ဟောင်းအနောက်,အရှေ့ပိုင်း,အမှတ် (၁),အမှတ် (၁),အမှတ် (၁)
အမှတ် (၂),အမှတ် (၂),အမှတ် (၂),အမှတ် (၂),ဦးဝိစာရ,(အနောက်) စောရန်ပိုင်,(တောင်) ဝေဠုဝန်,(တောင်) သရက်တော,အမှတ် (၂),အမှတ် (၂),စံပြ ဖဆပလ,၁/ထူပါရုံ,ဗမာအေး,ပုဏ္ဏားကုန်း,ခ,အမှတ် (၂),အမှတ် (၄),ကြားတောရ,အမှတ် (၂),အမှတ် (၂),(၂) သမိုင်းမြို့,အမှတ် (၂),အမှတ် (၂၇),အမှတ် (၁၈),အမှတ် (၂),အမှတ် (၅၉),(အလယ်) ကမ်းနား,အမှတ် (၂),အမှတ် (၁၀),အနန်းပင်,အမှတ် (၂),ပြည်တော်သာ,အမှတ် (၂),အမှတ် (၂),အိုးတန်း,(အနောက်) ဆိပ်ကြီး,အံ့ကြီးအရှေ့ (အံ့ကြီး),မြို့မပိုင်း,ကံကြီး/မကျီးတန်း,စျေးသစ်,မြို့ဟောင်းအလယ်,အလယ်ပိုင်း,အမှတ် (၂),အမှတ် (၂),အမှတ် (၂)
အမှတ် (၃),အမှတ် (၃),အမှတ် (၃),အမှတ် (၃),(အရှေ့) ပြည်လမ်း,(အရှေ့) စောရန်ပိုင်,(မြောက်) မုန့်လက်ဆောင်းကုန်း,(အရှေ့) သာဓု,အမှတ် (၃),အမှတ် (၃),(မြောက်) ကန်တော်ကလေး,၂/တောင်,ဗိုလ်ထွန်းဇံ,အရိုးကုန်း,ဂ,အမှတ် (၃),အမှတ် (၅),ရေတာရှည်,အမှတ် (၃),အမှတ် (၃),(၃) ကျိုက်ဝိုင်းကြီး,က,အမှတ် (၂၈),အမှတ် (၁၉),အမှတ် (၃),အမှတ် (၆၀),ကွက်သစ်,အမှတ် (၃),အမှတ် (၁၁),ချစ်တီးကုန်း,အမှတ် (၃),သာသနာ့ရိပ်သာ,အမှတ် (၃),အမှတ် (၃),စျေး,(အရှေ့) ခနောင်တို,အံ့ကြီးအနောက် (ပျဥ်းမကုန်း),မကျီးတန်း,စျေးပိုင်း,အုံးပင်စု,မြို့ဟောင်းအရှေ့,အနောက်ပိုင်း,အမှတ် (၃),အမှတ် (၃),
အမှတ် (၄),အမှတ် (၄),အမှတ် (၄),အမှတ် (၄),(အနောက်) ပြည်လမ်း,(တောင်) စောရန်ပိုင်,(တောင်) မုန့်လက်ဆောင်းကုန်း,(အနောက်) သာဓု,အမှတ် (၄),အမှတ် (၄),(အနောက်) ကန်တော်ကလေး,၂/မြောက်,ကြည်စု,ပျားရည်ကုန်း,ဃ,အမှတ် (၄),အမှတ် (၆),အနောက်ရွှေဂုံတိုင်ရပ်ကွက်,အမှတ် (၄),အမှတ် (၄),(၄) ကျိုက်ဝိုင်းလေး,ခ,အမှတ် (၂၉),အမှတ် (၂၀),အမှတ် (၄),အမှတ် (၆၁),ပေါက်တော,အမှတ် (၄),အမှတ် (၁၂),အမှတ် (၂-က),အမှတ် (၄),စျေးပိုင်း,အမှတ် (၄),အမှတ် (၄),ဗောဓိကုန်း,(အနောက်) ခနောင်တို,အမှတ် (၆),တာလမ်းသစ်,တောင်ဘက်ပိုင်း,မင်းပိုင်း,သောက်တော်ကွင်း,ဆင်ကန်,အမှတ် (၄),အမှတ် (၄),
အမှတ် (၅),အမှတ် (၅),အမှတ် (၅),အမှတ် (၅),ဘုရားကြီး,ဌာနာ,(မြောက်) ကျွန်းတော,(မြောက်/ရှေ့) မကျည်းတန်း,အမှတ် (၅),အမှတ် (၅),(အရှေ့) ကန်တော်ကလေး,၃/ရန်ပြေ,ဆေးစက်,နတ်မောက်,င/က,အမှတ် (၅),အမှတ် (၇),(၁) ရွေတောင်ကြား,အမှတ် (၅),အမှတ် (၅),(၅) စိန်ပန်းမြိုင်၊ကိုးမိုင်,ဂ,အမှတ် (၃၀),အမှတ် (၂၁),အမှတ် (၅),အမှတ် (၆၇),(အနောက်) စျေးကုန်း,အမှတ် (၅),အမှတ် (၁၃),အမှတ် (၂-ခ),အမှတ် (၅),မြို့မ,တပ်ကြီးကုန်း,အမှတ် (၅),ဘူတာ,ဦးထွန်းအို,အမှတ် (၁၁/၁၄),ပြည်တော်သာ,မင်းပိုင်း,ကျွန်းတော,အုပ်ဖိုစု,ရွှေကုန်း,အမှတ် (၅),အမှတ် (၅),
အမှတ် (၆),အမှတ် (၆),အမှတ် (၆),အမှတ် (၆),,(မြောက်) စောရန်ပိုင်,(အလယ်) ကျွန်းတော,(မြောက်/နောက်) မကျည်းတန်း,အမှတ် (၆),အမှတ် (၆),(တောင်) ကန်တော်ကလေး,၃/မန်ပြေ,မြို့သစ်,ဘိုလိန်းအောင်မင်္ဂလာ,င/ခ,အမှတ် (၆),အမှတ် (၈),(၂) ရွေတောင်ကြား,အမှတ် (၆),အမှတ် (၆),(၆) ဥာဏစာဂီ,ဃ,အမှတ် (၃၁),အမှတ် (၂၂),အမှတ် (၆),အမှတ် (၆၈),(အရှေ့) စျေးကုန်း,အမှတ် (၆),အမှတ် (၁၄),အမှတ် (၃-က),အမှတ် (၆),ဖောင်ကြီး (အရှေ့),လှပဒါး,ထိန်နှစ်ပင်,ဥပ္ပုံစု,ပန်းပင်ချောင်,ညောင်ကုန်း,တောင်ပိုင်း,တော်ပုလွဲ,ရွှေဆံတော်,အမှုထမ်း,စံချိန်မီ,အမှတ် (၆),အမှတ် (၆),
အမှတ် (၇),အမှတ် (၇),အမှတ် (၇),အမှတ် (၇),,ဆင်မင်း,(တောင်) ကျွန်းတော,(တောင်/ရှေ့) မကျည်းတန်း,အမှတ် (၇),အမှတ် (၇),သိမ်ဖြူမီးရထား,၄/တောင်,ပုသိမ်မြေ,ကျောက်မြောင်းကြီး,ဗိုလ်ကံညွန့်,အမှတ် (၇),အမှတ် (၉),(မြောက်/နောက်) ဆရာစံ,အမှတ် (၇),အမှတ် (၇),(၇) ရွာတန်းရှည်,င,အမှတ် (၃၂),အမှတ် (၂၃),အမှတ် (၇),အမှတ် (၆၉),ပိန္နဲကုန်း,အမှတ် (၇),အမှတ် (၁၆),အမှတ် (၃-ခ),အမှတ် (၇),ဖောင်ကြီး (အနောက်),မင်း,သံပုရာခုံ,ရှမ်းစု,(၅/၆/၇),မြို့မအပိုင်း (၁),ဘုရားလမ်း,စံပြ,အိုးဘို (အရှေ့),ပဲခူးစ,သီတာမြိုင်,အမှတ် (၇),အမှတ် (၇),
အမှတ် (၈),အမှတ် (၈),အမှတ် (၈),အမှတ် (၈),,ဂဠုန်,သံတံတား,(တောင်/နောက်) မကျည်းတန်း,အမှတ် (၈),အမှတ် (၈),လွတ်လပ်ရေး,၄/မြောက်,ဝါဆို,(အထက်) ကျောက်မြောင်း,ဘဏ်ရိပ်သာ,အမှတ် (၈),အမှတ် (၁၀),(မြောက်/ရှေ့) ဆရာစံ,အမှတ် (၈),အမှတ် (၈),(၈) ကမ္ဘာအေးစံပြ,စ,အမှတ် (၃၃),အမှတ် (၂၄),အမှတ် (၈),အမှတ် (၇၃),မြို့သစ် (က+ခ),အမှတ် (၈),အမှတ် (၁၇),စမ်းကြီးဝ,အမှတ် (၈),ဝါးချောင်း (အရှေ့),ပက်တန်း,ကလိန်,မင်္ဂလာ,ချောင်းဝိုင်းလေး,မြို့မအပိုင်း (၂),ထန်းပင်ချောင်,ကမာပါ,အိုးဘို (အနောက်),ထန်းပင်ကုန်း,ရွှေပြည်သာယာ,အမှတ် (၈),အမှတ် (၈),
အမှတ် (၉),အမှတ် (၉),အမှတ် (၉),အမှတ် (၉),,လွတ်လပ်ရေး,(မြောက်) လင်းလွန်း,(အရှေ့) စျေးကြီး,အမှတ် (၉),အမှတ် (၉),ဖို့မြေ,၅,အောင်ချမ်းသာ,(အရှေ့) ကျောက်မြောင်း,ရန်အောင်,အမှတ် (၉),အမှတ် (၁၁),(တောင်) ဆရာစံ,အမှတ် (၉),အမှတ် (၉),(၉) ရေကူး,ဆ,အမှတ် (၃၄),အမှတ် (၂၅),အမှတ် (၉),အမှတ် (၇၄),မြို့သစ် (ဂ),အမှတ် (၁၅),အမှတ် (၁၈),တပ်မတော်စံပြ,အမှတ် (၉),ဝါးချောင်း (အနောက်),ရွှေလှေကြီး,လမုတန်းကြီး,ဥက္ကံ ကျန်စစ်သား,သခင်ဘသောင်း,မြို့မအပိုင်း (၃),ရေကျော်,ကော့ဒွန်း,ခတ္တိယ,မြို့သစ်အရှေ့,အေးမြသီတာ,အမှတ် (၉),အမှတ် (၉),
