ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက် ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,ယောမင်းကြီးရပ်ကွက်,ဧရာဝတီရပ်ကွက်,ဝေဠုဝန် (မြောက်) ရပ်ကွက်,သရက်တော (မြောက်) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,ဥယျာဥ်ရပ်ကွက်,၁/အနော်မာ ရပ်ကွက်,နွယ်အေး ရပ်ကွက်,မအူကုန်းရပ်ကွက်,က ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,မြို့မရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက် (သမိုင်းဘူတာအနောက်),အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁၆) ရပ်ကွက်,အမှတ် (၁၇) တောင်ပိုင်း ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၅၈) ရပ်ကွက်,ကမ်းနား (အနောက်) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,ကြံခင်းစုရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အောင်မင်္ဂလာရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အင်္ဂလားရပ်ကွက်,ဆိပ်ကြီး (အရှေ့)​ ရပ်ကွက်,သမတကမ်းခြေရပ်ကွက်,မြို့သစ်ရပ်ကွက်,မြို့မရပ်ကွက်,ကွမ်းခြံရပ်ကွက်,မြို့ဟောင်းအနောက်ရပ်ကွက်,အရှေ့ပိုင်းရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်,အမှတ် (၁) ရပ်ကွက်
အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,ဦးဝိစာရရပ်ကွက်,စောရန်ပိုင် (အနောက်) ရပ်ကွက်,ဝေဠုဝန် (တောင်) ရပ်ကွက်,သရက်တော (တောင်) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,စံပြ ဖဆပလ ရပ်ကွက်,၁/ထူပါရုံ ရပ်ကွက်,ဗမာအေး ရပ်ကွက်,ပုဏ္ဏားကုန်းရပ်ကွက်,ခ ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,ကြားတောရရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက် (သမိုင်းမြို့),အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂၇) ရပ်ကွက်,အမှတ် (၁၈) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၅၉) ရပ်ကွက်,ကမ်းနား (အလယ်) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အနန်းပင်ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,ပြည်တော်သာရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အိုးတန်းရပ်ကွက်,ဆိပ်ကြီး (အနောက်) ရပ်ကွက်,အံ့ကြီးအရှေ့ (အံ့ကြီး) ရပ်ကွက်,မြို့မပိုင်းရပ်ကွက်,ကံကြီး/မကျီးတန်းရပ်ကွက်,စျေးသစ်ရပ်ကွက်,မြို့ဟောင်းအလယ်ရပ်ကွက်,အလယ်ပိုင်းရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်
အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,ပြည်လမ်း (အရှေ့) ရပ်ကွက်,စောရန်ပိုင် (အရှေ့) ရပ်ကွက်,မုန့်လက်ဆောင်းကုန်း (မြောက်) ရပ်ကွက်,သာဓု (အရှေ့) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,ကန်တော်ကလေး (မြောက်) ရပ်ကွက်,၂/တောင် ရပ်ကွက်,ဗိုလ်ထွန်းဇံ ရပ်ကွက်,အရိုးကုန်းရပ်ကွက်,ဂ ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,ရေတာရှည်ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက် (ကျိုက်ဝိုင်းကြီး),က ရပ်ကွက်,အမှတ် (၂၈) ရပ်ကွက်,အမှတ် (၁၉) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၆၀) ရပ်ကွက်,ကွက်သစ်ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၁၁) ရပ်ကွက်,ချစ်တီးကုန်းရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,သာသနာ့ရိပ်သာရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,စျေးရပ်ကွက်,ခနောင်တို (အရှေ့) ရပ်ကွက်,အံ့ကြီးအနောက် (ပျဥ်းမကုန်း) ရပ်ကွက်,မကျီးတန်းရပ်ကွက်,စျေးပိုင်းရပ်ကွက်,အုံးပင်စုရပ်ကွက်,မြို့ဟောင်းအရှေ့ရပ်ကွက်,အနောက်ပိုင်းရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,
အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,ပြည်လမ်း (အနောက်) ရပ်ကွက်,စောရန်ပိုင် (တောင်) ရပ်ကွက်,မုန့်လက်ဆောင်းကုန်း (တောင်) ရပ်ကွက်,သာဓု (အနောက်) ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,ကန်တော်ကလေး (အနောက်) ရပ်ကွက်,၂/မြောက် ရပ်ကွက်,ကြည်စု ရပ်ကွက်,ပျားရည်ကုန်းရပ်ကွက်,ဃ ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၆) ရပ်ကွက်,အနောက်ရွှေဂုံတိုင်ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် (ကျိုက်ဝိုင်းလေး),ခ ရပ်ကွက်,အမှတ် (၂၉) ရပ်ကွက်,အမှတ် (၂၀) ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၆၁) ရပ်ကွက်,ပေါက်တောရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၁၂) ရပ်ကွက်,အမှတ် (၂-က) ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,စျေးပိုင်းရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,ဗောဓိကုန်းရပ်ကွက်,ခနောင်တို (အနောက်) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,တာလမ်းသစ်ရပ်ကွက်,တောင်ဘက်ပိုင်းရပ်ကွက်,မင်းပိုင်းရပ်ကွက်,သောက်တော်ကွင်းရပ်ကွက်,ဆင်ကန်ရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,အမှတ် (၄) ရပ်ကွက် ,
အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,ဘုရားကြီးရပ်ကွက်,ဌာနာရပ်ကွက်,ကျွန်းတော (မြောက်) ရပ်ကွက်,မကျည်းတန်း (မြောက်/အရှေ့) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,ကန်တော်ကလေး (အရှေ့) ရပ်ကွက်,၃/ရန်ပြေ ရပ်ကွက်,ဆေးစက် ရပ်ကွက်,နတ်မောက်ရပ်ကွက်,င/က ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,ရွှေတောင်ကြားအမှတ် (၁) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက် (စိန်ပန်းမြိုင်၊ကိုးမိုင်),ဂ ရပ်ကွက်,အမှတ် (၃၀) ရပ်ကွက်,အမှတ် (၂၁) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၆၇) ရပ်ကွက်,စျေးကုန်း (အနောက်) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၁၃) ရပ်ကွက် ,အမှတ် (၂-ခ) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,မြို့မရပ်ကွက်,ကျေးရွာအုပ်စုများ,အမှတ် (၅) ရပ်ကွက်,ဘူတာရပ်ကွက်,ဦးထွန်းအိုရပ်ကွက်,အမှတ် (၁၁/၁၄) ရပ်ကွက်,ပြည်တော်သာရပ်ကွက်,မင်းပိုင်းရပ်ကွက်,ကျွန်းတောရပ်ကွက်,အုပ်ဖိုစုရပ်ကွက်,ရွှေကုန်းရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,အမှတ် (၅) ရပ်ကွက်,
အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,,စောရန်ပိုင် (မြောက်) ရပ်ကွက်,ကျွန်းတော (အလယ်) ရပ်ကွက်,မကျည်းတန်း (မြောက်/အနောက်) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,ကန်တော်ကလေး (တောင်) ရပ်ကွက်,၃/မန်ပြေ ရပ်ကွက်,မြို့သစ် ရပ်ကွက်,ဘိုလိန်းအောင်မင်္ဂလာရပ်ကွက်,င/ခ ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,ရွှေတောင်ကြားအမှတ် (၂) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက် (ဥာဏစာဂီ),ဃ ရပ်ကွက်,အမှတ် (၃၁) ရပ်ကွက်,အမှတ် (၂၂) ရပ်ကွက် ,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆၈) ရပ်ကွက်,စျေးကုန်း (အရှေ့) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၁၄) ရပ်ကွက်,အမှတ် (၃-က) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,ကျေးရွာအုပ်စုများ,တပ်ကြီးကုန်းကျေးရွာအုပ်စု,ကျေးရွာအုပ်စုများ,ဥပ္ပုံစုရပ်ကွက်,ပန်းပင်ချောင်ရပ်ကွက်,ညောင်ကုန်းရပ်ကွက်,တောင်ပိုင်းရပ်ကွက်,တော်ပုလွဲရပ်ကွက်,ရွှေဆံတော်ရပ်ကွက်,အမှုထမ်းရပ်ကွက်,စံချိန်မီရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,အမှတ် (၆) ရပ်ကွက်,
အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,,ဆင်မင်းရပ်ကွက်,ကျွန်းတော (တောင်) ရပ်ကွက်,မကျည်းတန်း (တောင်/အရှေ့) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,သိမ်ဖြူမီးရထားရပ်ကွက်,၄/တောင် ရပ်ကွက်,ပုသိမ်မြေ ရပ်ကွက်,ကျောက်မြောင်းကြီးရပ်ကွက်,ဗိုလ်ကံညွန့် ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,ဆရာစံ (မြောက်/အနောက်) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက် (ရွာတန်းရှည်),င ရပ်ကွက်,အမှတ် (၃၂) ရပ်ကွက်,အမှတ် (၂၃) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၆၉) ရပ်ကွက်,ပိန္နဲကုန်းရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၁၆) ရပ်ကွက်,အမှတ် (၃-ခ) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,ဖောင်ကြီး (အရှေ့) ကျေးရွာအုပ်စု,လှပဒါးကျေးရွာအုပ်စု,ထိန်နှစ်ပင်ကျေးရွာအုပ်စု,ရှမ်းစုရပ်ကွက်,(၅/၆/၇) ရပ်ကွက်,မြို့မအပိုင်း (၁) ရပ်ကွက်,ဘုရားလမ်းရပ်ကွက်,စံပြရပ်ကွက်,အိုးဘို (အရှေ့) ရပ်ကွက်,ပဲခူးစုရပ်ကွက်,သီတာမြိုင်ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,အမှတ် (၇) ရပ်ကွက်,
အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,,ဂဠုန်ရပ်ကွက်,သံတံတားရပ်ကွက်,မကျည်းတန်း (တောင်/အနောက်) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,လွတ်လပ်ရေးရပ်ကွက်,၄/မြောက် ရပ်ကွက်,ဝါဆို ရပ်ကွက်,ကျောက်မြောင်းအထက်ရပ်ကွက်,ဘဏ်ရိပ်သာ ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,ဆရာစံ (မြောက်/အရှေ့) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက် (ကမ္ဘာအေးစံပြ),စ ရပ်ကွက်,အမှတ် (၃၃) ရပ်ကွက်,အမှတ် (၂၄) ရပ်ကွက် ,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၇၃) ရပ်ကွက်,မြို့သစ် (က+ခ) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၁၇) ရပ်ကွက်,စမ်းကြီးဝရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,ဖောင်ကြီး (အနောက်) ကျေးရွာအုပ်စု,မင်းကျေးရွာအုပ်စု,သံပုရာခုံကျေးရွာအုပ်စု,မင်္ဂလာရပ်ကွက်,ချောင်းဝိုင်းလေးရပ်ကွက်,မြို့မအပိုင်း (၂) ရပ်ကွက်,ကျေးရွာအုပ်စုများ,ကျေးရွာအုပ်စုများ,အိုးဘို (အနောက်) ရပ်ကွက်,ထန်းပင်ကုန်းရပ်ကွက်,ရွှေပြည်သာယာရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,အမှတ် (၈) ရပ်ကွက်,
အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,,လွတ်လပ်ရေးရပ်ကွက်,လင်းလွန်း (မြောက်) ရပ်ကွက်,စျေးကြီး (အရှေ့) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,ဖို့မြေရပ်ကွက်,၅/ ရပ်ကွက်,အောင်ချမ်းသာ ရပ်ကွက်,ကျောက်မြောင်း (အရှေ့) ရပ်ကွက်,ရန်အောင် ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၁၁) ရပ်ကွက်,ဆရာစံ (တောင်) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက် (ရေကူး),ဆ ရပ်ကွက်,အမှတ် (၃၄) ရပ်ကွက် ,အမှတ် (၂၅) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၇၄) ရပ်ကွက် ,မြို့သစ် (ဂ) ရပ်ကွက်,အမှတ် (၁၅) ရပ်ကွက်,အမှတ် (၁၈) ရပ်ကွက်,တပ်မတော်စံပြရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,ဝါးချောင်း (အရှေ့) ကျေးရွာအုပ်စု,ပက်တန်းကျေးရွာအုပ်စု,ကလိန်ကျေးရွာအုပ်စု,ဥက္ကံမြို့ ,သခင်ဘသောင်းရပ်ကွက်,မြို့မအပိုင်း (၃) ရပ်ကွက်,ထန်းပင်ချောင်ကျေးရွာအုပ်စု,ကမာပါကျေးရွာအုပ်စု,ကျေးရွာအုပ်စုများ,မြို့သစ်အရှေ့ရပ်ကွက်,အေးမြသီတာရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,အမှတ် (၉) ရပ်ကွက်,
,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,,ကရင်ခြံရပ်ကွက်,လင်းလွန်း (တောင်) ရပ်ကွက်,စျေးကြီး (အနောက်) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,တောင်ညွန့်မီးရထားရပ်ကွက်,၆/အရှေ့ ရပ်ကွက်,လမုတန်း ရပ်ကွက်,ပုသိမ်ညွန့်ရပ်ကွက်,ဦးစံဖေ ရပ်ကွက်,အမှတ် (၁၁) ရပ်ကွက်,အမှတ် (၁၂) ရပ်ကွက်,သာသနာ့ရိပ်သာရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),ဇ ရပ်ကွက်,အမှတ် (၃၅) ရပ်ကွက်,အမှတ် (၂၆) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၇၅) ရပ်ကွက်,ကြို့ကုန်း (အနောက်) ရပ်ကွက်,ကျေးရွာအုပ်စုများ,အမှတ် (၁၉) ရပ်ကွက်,ပေါက်ကုန်းရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,ဝါးချောင်း (အနောက်) ကျေးရွာအုပ်စု,ရွှေလှေကြီးကျေးရွာအုပ်စု,လမုတန်းကြီးကျေးရွာအုပ်စု,ကျန်စစ်သားရပ်ကွက်,,မြို့မအပိုင်း (၄) ရပ်ကွက်,ရေကျော်ကျေးရွာအုပ်စု,ကော့ဒွန်းကျေးရွာအုပ်စု,ခတ္တိယကျေးရွာအုပ်စု,မြို့သစ်အလယ်ရပ်ကွက်,တံတားမြို့,အမှတ် (၁၀) ရပ်ကွက်,အမှတ် (၁၀) ရပ်ကွက်,
